7 dis à                         dis à mamy !
45772 aller où                      habillé pour aller où ?
45776 jamais été                   ) as jamais été au
45781 est en                         c(e) est en montagne .
45785 tellement il                   crie , tellement il est
45786 comment il                     anne , comment il euh
45789 comment il                     voir , comment il est
45789 est habillé                   comment il est habillé pour
45789 aller au                       habillé pour aller au ski
45790 rien oublié                   ) a rien oublié de
45792 pis alors                      ben tant pis alors ,
45794 met autre                      , on met autre chose
45798 combinaison avec               a sa combinaison avec ses
45801 voit au                        on les voit au ski
45801 pentes enneigées              sur les pentes enneigées .
45803 est après                     , c(e) est après encore
45803 après encore                  c(e) est après encore .
